precision,metric,accepted,coverage,risk,threshold
q2,sde,38,0.6333333333333333,0.21052631578947367,0.0
q2,sde,39,0.65,0.23076923076923078,0.0
q2,sde,40,0.6666666666666666,0.25,0.03255348926243032
q2,sde,41,0.6833333333333333,0.24390243902439024,0.04634920634920634
q2,sde,42,0.7,0.2619047619047619,0.048
q2,sde,43,0.7166666666666667,0.27906976744186046,0.051324878246753254
q2,sde,44,0.7333333333333333,0.29545454545454547,0.052131523565443844
q2,sde,45,0.75,0.3111111111111111,0.07315758896151053
q2,sde,46,0.7666666666666667,0.32608695652173914,0.1055951685174362
q2,sde,47,0.7833333333333333,0.3404255319148936,0.10715304238852479
q2,sde,48,0.8,0.3333333333333333,0.11324019569628975
q2,sde,49,0.8166666666666667,0.3469387755102041,0.1215023678151292
q2,sde,50,0.8333333333333334,0.36,0.13333333333333333
q2,sde,51,0.85,0.35294117647058826,0.16
q2,sde,52,0.8666666666666667,0.36538461538461536,0.16
q2,sde,53,0.8833333333333333,0.37735849056603776,0.16
q2,sde,54,0.9,0.3888888888888889,0.16128774708266122
q2,sde,55,0.9166666666666666,0.4,0.16879687499999999
q2,sde,56,0.9333333333333333,0.4107142857142857,0.23666161616161613
q2,sde,57,0.95,0.42105263157894735,0.24
q2,sde,58,0.9666666666666667,0.43103448275862066,0.25333333333333335
q2,sde,59,0.9833333333333333,0.4406779661016949,0.29600000000000004
q2,sde,60,1.0,0.45,0.37733384427008476
q2,exact_dsde,1,0.016666666666666666,0.0,0.0
q2,exact_dsde,2,0.03333333333333333,0.5,0.0
q2,exact_dsde,3,0.05,0.3333333333333333,0.0
q2,exact_dsde,4,0.06666666666666667,0.5,0.0
q2,exact_dsde,5,0.08333333333333333,0.4,0.0
q2,exact_dsde,6,0.1,0.3333333333333333,0.0
q2,exact_dsde,7,0.11666666666666667,0.2857142857142857,0.0
q2,exact_dsde,8,0.13333333333333333,0.25,0.0
q2,exact_dsde,9,0.15,0.2222222222222222,0.0
q2,exact_dsde,10,0.16666666666666666,0.2,0.0
q2,exact_dsde,11,0.18333333333333332,0.18181818181818182,0.0
q2,exact_dsde,12,0.2,0.16666666666666666,0.0
q2,exact_dsde,13,0.21666666666666667,0.15384615384615385,0.0
q2,exact_dsde,14,0.23333333333333334,0.14285714285714285,0.0
q2,exact_dsde,15,0.25,0.13333333333333333,0.0
q2,exact_dsde,16,0.26666666666666666,0.1875,0.0
q2,exact_dsde,17,0.2833333333333333,0.17647058823529413,0.0
q2,exact_dsde,18,0.3,0.2222222222222222,0.0
q2,exact_dsde,19,0.31666666666666665,0.21052631578947367,0.0
q2,exact_dsde,20,0.3333333333333333,0.2,0.0
q2,exact_dsde,21,0.35,0.23809523809523808,0.0
q2,exact_dsde,22,0.36666666666666664,0.2727272727272727,0.0
q2,exact_dsde,23,0.38333333333333336,0.2608695652173913,0.0
q2,exact_dsde,24,0.4,0.25,0.0
q2,exact_dsde,25,0.4166666666666667,0.24,0.0
q2,exact_dsde,26,0.43333333333333335,0.2692307692307692,0.0
q2,exact_dsde,27,0.45,0.25925925925925924,0.0
q2,exact_dsde,28,0.4666666666666667,0.25,0.0
q2,exact_dsde,29,0.48333333333333334,0.2413793103448276,0.0
