task_id,precision,token_count,mean_nll,median_nll,mean_top1_margin,mean_topk_entropy,worst_decile_nll,status,expected_solution_sha256,generated_solution_sha256,model_sha256
Mbpp/750,q2,22,0.08020095751904224,2.1159875359444413e-05,11.378140123515012,0.14915755086023996,0.2814972549676895,matched,7f14d32fe71f7513bddcddc2acc6c7abff5db6f13cbe8c771c189d06afe9689b,7f14d32fe71f7513bddcddc2acc6c7abff5db6f13cbe8c771c189d06afe9689b,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/752,q2,181,0.0253675034044065,1.1920930376163597e-07,15.148434051754938,0.05540483106035618,0.018626293167471886,matched,028ac514e9d9d16864f1649717661ef59c287960833c5e9ad6a93dd8dce5627f,028ac514e9d9d16864f1649717661ef59c287960833c5e9ad6a93dd8dce5627f,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/757,q2,43,0.03390229157879787,9.536747711536009e-07,14.74522946469363,0.07432414611931501,0.011849746061488984,matched,dcf4720e4c32c9b27496c64cd9ac31a4d001b4a7cb53b5fe99323e04033c199e,dcf4720e4c32c9b27496c64cd9ac31a4d001b4a7cb53b5fe99323e04033c199e,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/759,q2,82,0.11126421085055214,0.0017370554560329765,8.13339650610761,0.23894401262577364,0.3593054533004761,hash_mismatch,1a34bf1b9fdbd725be93fd22fc7735d9e9ba0805f376760a9bfb53650b0af537,ad411de6e056db6711448b442e1d97cfeec4ce689a01eb3e3b9c5b5e9b9df43c,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/767,q2,68,0.013202219562867365,-0.0,17.22839323451289,0.022706515488627628,0.00011902035694220101,matched,3f930d07a7afff5833b1d405a408188eca9ba5adc6d0923f594243a0d72946bf,3f930d07a7afff5833b1d405a408188eca9ba5adc6d0923f594243a0d72946bf,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/780,q2,77,0.016143247789298956,1.1920930376163597e-07,15.901355280393982,0.041413187169384726,0.0009469705517403781,matched,993991e6dd5136a3170c1b28838baf2dc5d64b50863b2008aa831bb5c742928f,993991e6dd5136a3170c1b28838baf2dc5d64b50863b2008aa831bb5c742928f,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/79,q2,22,0.04098111860342225,2.5033982637978625e-06,13.610144545457343,0.066735027668663,0.046416900423355396,matched,08df50f51027d7aa29c2b939799917fe221216801dd94fb992c0ad47e5d3603c,08df50f51027d7aa29c2b939799917fe221216801dd94fb992c0ad47e5d3603c,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/80,q2,33,0.023698471536193186,1.1920930376163597e-07,16.451520705941096,0.03403321324498335,0.00015188574834610333,hash_mismatch,43d4876a09c6363492e5b8c7b11d1c8714896ca0c72c7d0e128561e778c0b440,2bacbcb1390814d2de1057a70adfc5a7ab6b354c0f528a292baa8cced5dee144,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/85,q2,72,0.014601096379679705,2.9802326650951727e-07,14.308498889339047,0.033566596665739024,0.013119473727419968,matched,aca74e14f8b83ae748ef3cffd397ab5751c378770835ba68eb38fb123e8b47a2,aca74e14f8b83ae748ef3cffd397ab5751c378770835ba68eb38fb123e8b47a2,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/86,q2,31,0.048036131392345006,4.22009798057843e-05,10.279841455495385,0.09557602124589523,0.16632793843746185,matched,3b57e0fd188ae4fc6bb86c097a04ce88ed39763772993b6149a0f6daa98d24c7,3b57e0fd188ae4fc6bb86c097a04ce88ed39763772993b6149a0f6daa98d24c7,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
